time,lat,lon,alt,type
2026-05-22 20:58:00+00:00,33.08701586043624,132.98660554975407,26706.0,balloon
2026-05-22 20:59:00+00:00,33.08686236802455,132.9869786574775,27006.0,balloon
2026-05-22 21:00:00+00:00,33.08670806515282,132.98727414630588,27306.0,balloon
2026-05-22 21:01:00+00:00,33.08655396032931,132.98750141479624,27606.0,balloon
2026-05-22 21:02:00+00:00,33.08640108662187,132.9876687548631,27906.0,balloon
2026-05-22 21:03:00+00:00,33.08624944278422,132.98777407706794,28206.0,balloon
2026-05-22 21:04:00+00:00,33.086099010934426,132.98781531982183,28506.0,balloon
2026-05-22 21:05:00+00:00,33.08594975560238,132.9877904508189,28806.0,balloon
2026-05-22 21:06:00+00:00,33.0858016227891,132.98769746844556,29106.0,balloon
2026-05-22 21:07:00+00:00,33.085654539039155,132.98753440316452,29406.0,balloon
2026-05-22 21:08:00+00:00,33.085508410527424,132.98729931886993,29706.0,balloon
2026-05-22 21:08:58.593750+00:00,33.08536652735745,132.9869975565085,29998.96875,balloon
2026-05-22 21:08:58.593750+00:00,33.08536652735745,132.9869975565085,29998.96875,balloon
2026-05-22 21:09:58.593750+00:00,33.08523346379333,132.98697345887717,27716.64010273417,balloon
2026-05-22 21:10:58.593750+00:00,33.08504135973825,132.98747532324956,25796.014745209977,balloon
2026-05-22 21:11:58.593750+00:00,33.083953985882815,132.9878512413705,24152.05104031504,balloon
2026-05-22 21:12:58.593750+00:00,33.08220646695763,132.98836787978715,22699.21337174769,balloon
2026-05-22 21:13:58.593750+00:00,33.080235820819524,132.98953236821473,21395.23643418954,balloon
2026-05-22 21:14:58.593750+00:00,33.0781008726407,132.99129763823234,20212.43023791391,balloon
2026-05-22 21:15:58.593750+00:00,33.076186617217544,132.99365454432572,19130.17767768543,balloon
2026-05-22 21:16:58.593750+00:00,33.074357713299236,132.99722292850365,18132.713550662407,balloon
2026-05-22 21:17:58.593750+00:00,33.071978126026615,133.0042967647695,17207.712249620476,balloon
2026-05-22 21:18:58.593750+00:00,33.069011789849775,133.01473804192335,16345.354655120698,balloon
2026-05-22 21:19:58.593750+00:00,33.0652103192506,133.02762400459358,15537.69145205899,balloon
2026-05-22 21:20:58.593750+00:00,33.060505188528644,133.0423700871838,14778.196589806243,balloon
2026-05-22 21:21:58.593750+00:00,33.05499785266017,133.05807261085698,14061.446566671646,balloon
2026-05-22 21:22:58.593750+00:00,33.0512737094306,133.07418745370757,13382.885253701927,balloon
2026-05-22 21:23:58.593750+00:00,33.04922833426804,133.08951575617007,12738.648261245955,balloon
2026-05-22 21:24:58.593750+00:00,33.046237572063035,133.10236976925034,12125.429626532257,balloon
2026-05-22 21:25:58.593750+00:00,33.044494758191604,133.11534839923573,11540.379145519379,balloon
2026-05-22 21:26:58.593750+00:00,33.04348907402766,133.1288207661888,10980.951943690745,balloon
2026-05-22 21:27:58.593750+00:00,33.042171798986836,133.14185642992808,10442.56401102698,balloon
2026-05-22 21:28:58.593750+00:00,33.04073030311993,133.15282985089038,9921.753573226057,balloon
2026-05-22 21:29:58.593750+00:00,33.04238405325225,133.16052915975268,9417.167794239773,balloon
2026-05-22 21:30:58.593750+00:00,33.046295989974084,133.16689618850157,8927.612682009996,balloon
2026-05-22 21:31:58.593750+00:00,33.05109870864926,133.1719579095237,8452.028549293875,balloon
2026-05-22 21:32:58.593750+00:00,33.05579535842544,133.17642422160515,7989.470102123457,balloon
2026-05-22 21:33:58.593750+00:00,33.06012418947368,133.1809335261995,7539.090137609129,balloon
2026-05-22 21:34:58.593750+00:00,33.064548024563436,133.18558742485735,7100.126086524782,balloon
2026-05-22 21:35:58.593750+00:00,33.0696074281011,133.19044531201965,6671.8888197590995,balloon
2026-05-22 21:36:58.593750+00:00,33.075512825496354,133.19549246298212,6253.753272402829,balloon
2026-05-22 21:37:58.593750+00:00,33.0817658835786,133.20055696805682,5845.150539225928,balloon
2026-05-22 21:38:58.593750+00:00,33.08743969698131,133.20550772279765,5445.561170359111,balloon
2026-05-22 21:39:58.593750+00:00,33.092313802208324,133.21041823150802,5054.509452933288,balloon
2026-05-22 21:40:58.593750+00:00,33.09651356964452,133.21570718092235,4671.558508042064,balloon
2026-05-22 21:41:58.593750+00:00,33.100076009759626,133.2216328878964,4296.306066098649,balloon
2026-05-22 21:42:58.593750+00:00,33.103121818672854,133.22798417714188,3928.3808099290295,balloon
2026-05-22 21:43:58.593750+00:00,33.10581568724323,133.23434947381378,3567.439195580446,balloon
2026-05-22 21:44:58.593750+00:00,33.10819934024824,133.24027587274222,3213.1626771563992,balloon
2026-05-22 21:45:58.593750+00:00,33.11034412008288,133.24484243740952,2865.2552750047153,balloon
2026-05-22 21:46:58.593750+00:00,33.112358404347454,133.24648518094006,2523.441437025484,balloon
2026-05-22 21:47:58.593750+00:00,33.11426783171995,133.24479733171836,2187.464151292262,balloon
2026-05-22 21:48:58.593750+00:00,33.11647895204608,133.2413250780103,1857.0832750210495,balloon
2026-05-22 21:49:58.593750+00:00,33.119137496961656,133.23732077204733,1532.074050506348,balloon
2026-05-22 21:50:58.593750+00:00,33.121937226375515,133.2332454421622,1212.2257832267242,balloon
2026-05-22 21:51:58.593750+00:00,33.12465716475358,133.2292396160956,897.3406611021888,balloon
2026-05-22 21:52:58.593750+00:00,33.12697337441242,133.22543204879847,587.2326970179255,balloon
2026-05-22 21:53:58.593750+00:00,33.128699873657524,133.22213140631345,281.72677933612266,balloon
2026-05-22 21:54:54.375000+00:00,33.130155638992,133.22004725354682,1.8267286906231597,balloon
2026-05-22 21:54:54.375000,33.130155638992,133.22004725354682,0.0,drift_mean
2026-05-22 22:04:54.375000,33.130321576610335,133.22013951376817,0.0,drift_mean
2026-05-22 22:14:54.375000,33.13048751422867,133.2202317741639,0.0,drift_mean
2026-05-22 22:24:54.375000,33.130653451847,133.220324034734,0.0,drift_mean
2026-05-22 22:34:54.375000,33.13081938946534,133.22041629547851,0.0,drift_mean
2026-05-22 22:44:54.375000,33.13098532708367,133.22050855639742,0.0,drift_mean
2026-05-22 22:54:54.375000,33.131151264702005,133.22060081749072,0.0,drift_mean
2026-05-22 23:04:54.375000,33.13131720232034,133.22069307875842,0.0,drift_mean
2026-05-22 23:14:54.375000,33.13148313993867,133.2207853402005,0.0,drift_mean
2026-05-22 23:24:54.375000,33.13164907755701,133.220877601817,0.0,drift_mean
2026-05-22 23:34:54.375000,33.13181501517534,133.22096986360788,0.0,drift_mean
2026-05-22 23:44:54.375000,33.131980952793675,133.22106212557316,0.0,drift_mean
2026-05-22 23:54:54.375000,33.13214689041201,133.22115438771283,0.0,drift_mean
2026-05-23 00:04:54.375000,33.132312828030344,133.22124665002696,0.0,drift_mean
2026-05-23 00:14:54.375000,33.13247876564868,133.22133891251542,0.0,drift_mean
2026-05-23 00:24:54.375000,33.13264470326701,133.22143117517828,0.0,drift_mean
2026-05-23 00:34:54.375000,33.132810640885346,133.2215234380156,0.0,drift_mean
2026-05-23 00:44:54.375000,33.13297657850368,133.2216157010273,0.0,drift_mean
2026-05-23 00:54:54.375000,33.133142516122014,133.22170796421346,0.0,drift_mean
2026-05-23 01:04:54.375000,33.13330845374035,133.22180022757402,0.0,drift_mean
2026-05-23 01:14:54.375000,33.13347439135868,133.22189249110897,0.0,drift_mean
2026-05-23 01:24:54.375000,33.133640328977016,133.22198475481832,0.0,drift_mean
2026-05-23 01:34:54.375000,33.13380626659535,133.22207701870207,0.0,drift_mean
2026-05-23 01:44:54.375000,33.133972204213684,133.22216928276026,0.0,drift_mean
2026-05-23 01:54:54.375000,33.13413814183202,133.22226154699285,0.0,drift_mean
2026-05-23 02:04:54.375000,33.13430407945035,133.2223538113999,0.0,drift_mean
2026-05-23 02:14:54.375000,33.134470017068686,133.22244607598134,0.0,drift_mean
2026-05-23 02:24:54.375000,33.13463595468702,133.22253834073723,0.0,drift_mean
2026-05-23 02:34:54.375000,33.134801892305354,133.22263060566752,0.0,drift_mean
2026-05-23 02:44:54.375000,33.13496782992369,133.22272287077226,0.0,drift_mean
2026-05-23 02:54:54.375000,33.13513376754202,133.2228151360514,0.0,drift_mean
2026-05-23 03:04:54.375000,33.13529970516036,133.22290740150498,0.0,drift_mean
2026-05-23 03:14:54.375000,33.13546564277869,133.22299966713302,0.0,drift_mean
2026-05-23 03:24:54.375000,33.135631580397025,133.22309193293552,0.0,drift_mean
2026-05-23 03:34:54.375000,33.13579751801536,133.2231841989124,0.0,drift_mean
2026-05-23 03:44:54.375000,33.13596345563369,133.22327646506375,0.0,drift_mean
2026-05-23 03:54:54.375000,33.13612939325203,133.22336873138954,0.0,drift_mean
