time,lat,lon,alt,stage
2026-05-27 13:42:00+00:00,32.66086818755804,133.09754027699933,17760.0,ascent
2026-05-27 13:43:00+00:00,32.65490625485467,133.10080666302235,18060.0,ascent
2026-05-27 13:44:00+00:00,32.64937074141722,133.1033069087281,18360.0,ascent
2026-05-27 13:45:00+00:00,32.64426433631848,133.10504199995506,18660.0,ascent
2026-05-27 13:46:00+00:00,32.639622588193326,133.10604877660938,18960.0,ascent
2026-05-27 13:47:00+00:00,32.635825243135415,133.10673917651442,19260.0,ascent
2026-05-27 13:48:00+00:00,32.63295022598977,133.1072065908104,19560.0,ascent
2026-05-27 13:49:00+00:00,32.6309960088884,133.10745867742295,19860.0,ascent
2026-05-27 13:50:00+00:00,32.62996110058064,133.10750245380072,20160.0,ascent
2026-05-27 13:51:00+00:00,32.62984404793449,133.1073443156936,20460.0,ascent
2026-05-27 13:52:00+00:00,32.63064343878245,133.10699005469652,20760.0,ascent
2026-05-27 13:53:00+00:00,32.6320107966729,133.10642559909965,21060.0,ascent
2026-05-27 13:54:00+00:00,32.63314277002464,133.10560546964183,21360.0,ascent
2026-05-27 13:55:00+00:00,32.633989565286676,133.10452093968587,21660.0,ascent
2026-05-27 13:56:00+00:00,32.63455215010525,133.103165854278,21960.0,ascent
2026-05-27 13:57:00+00:00,32.63483155049835,133.1015339757566,22260.0,ascent
2026-05-27 13:58:00+00:00,32.634828854673124,133.09961898399234,22560.0,ascent
2026-05-27 13:59:00+00:00,32.63454521718558,133.09741447663603,22860.0,ascent
2026-05-27 14:00:00+00:00,32.633981863473196,133.09491396938748,23160.0,ascent
2026-05-27 14:01:00+00:00,32.6331400947916,133.0921108962989,23460.0,ascent
2026-05-27 14:02:00+00:00,32.632021293586895,133.08899861012821,23760.0,ascent
2026-05-27 14:03:00+00:00,32.63063945006036,133.08557325149212,24060.0,ascent
2026-05-27 14:04:00+00:00,32.629249148243666,133.0818889391508,24360.0,ascent
2026-05-27 14:05:00+00:00,32.6279892036954,133.07798223784198,24660.0,ascent
2026-05-27 14:06:00+00:00,32.626856545420885,133.0738588664251,24960.0,ascent
2026-05-27 14:07:00+00:00,32.625848148415876,133.0695245967098,25260.0,ascent
2026-05-27 14:08:00+00:00,32.62496103233252,133.0649852522143,25560.0,ascent
2026-05-27 14:09:00+00:00,32.6241922604262,133.06024670665474,25860.0,ascent
2026-05-27 14:10:00+00:00,32.6235389387712,133.05531488217898,26160.0,ascent
2026-05-27 14:11:00+00:00,32.62299821573288,133.05019574735724,26460.0,ascent
2026-05-27 14:12:00+00:00,32.62256442359427,133.0449071589952,26760.0,ascent
2026-05-27 14:13:00+00:00,32.6222039084345,133.039586414548,27060.0,ascent
2026-05-27 14:14:00+00:00,32.62191169448913,133.03426026015703,27360.0,ascent
2026-05-27 14:15:00+00:00,32.62168940572397,133.0289287381856,27660.0,ascent
2026-05-27 14:16:00+00:00,32.62153863633556,133.02359185733573,27960.0,ascent
2026-05-27 14:17:00+00:00,32.62146094907348,133.01824959338202,28260.0,ascent
2026-05-27 14:18:00+00:00,32.62145787355227,133.01290188995537,28560.0,ascent
2026-05-27 14:19:00+00:00,32.62153090455412,133.00754865937634,28860.0,ascent
2026-05-27 14:20:00+00:00,32.62168150032401,133.00218978353703,29160.0,ascent
2026-05-27 14:21:00+00:00,32.62191090241569,132.9968254378388,29460.0,ascent
2026-05-27 14:22:00+00:00,32.62221919821068,132.99145738820476,29760.0,ascent
2026-05-27 14:22:48.281250+00:00,32.62253097993898,132.9871354654727,30001.40625,ascent
2026-05-27 14:22:48.281250+00:00,32.62253097993898,132.9871354654727,30001.40625,descent
2026-05-27 14:23:48.281250+00:00,32.62264136262224,132.9818017091157,27718.665357412425,descent
2026-05-27 14:24:48.281250+00:00,32.62220520369404,132.97659730849062,25797.73999370379,descent
2026-05-27 14:25:48.281250+00:00,32.621216409259446,132.97214555638197,24153.5646791125,descent
2026-05-27 14:26:48.281250+00:00,32.62048747200457,132.96887690384602,22700.563854406617,descent
2026-05-27 14:27:48.281250+00:00,32.620962383017634,132.9672714508021,21396.45551180081,descent
2026-05-27 14:28:48.281250+00:00,32.622037935819755,132.96709525615964,20213.541214986297,descent
2026-05-27 14:29:48.281250+00:00,32.62011063532992,132.9674349795057,19131.198164134617,descent
2026-05-27 14:30:48.281250+00:00,32.61548898826428,132.96874408881888,18133.6571774222,descent
2026-05-27 14:31:48.281250+00:00,32.60937583362193,132.97244785654024,17208.589783425432,descent
2026-05-27 14:32:48.281250+00:00,32.60203758452658,132.9785335661749,16346.17474843466,descent
2026-05-27 14:33:48.281250+00:00,32.59443410418842,132.98736962062443,15538.461162641139,descent
2026-05-27 14:34:48.281250+00:00,32.587598713888056,132.9981031218241,14778.921749915118,descent
2026-05-27 14:35:48.281250+00:00,32.582533656396954,133.00959436906882,14062.132051267863,descent
2026-05-27 14:36:48.281250+00:00,32.57701420636969,133.02126537046252,13383.535179086166,descent
2026-05-27 14:37:48.281250+00:00,32.570083826864796,133.03324137408873,12739.266134716372,descent
2026-05-27 14:38:48.281250+00:00,32.5615307875185,133.04592314794817,12126.018460873438,descent
2026-05-27 14:39:48.281250+00:00,32.55238350656376,133.0598790075189,11540.941547794904,descent
2026-05-27 14:40:48.281250+00:00,32.54300766350785,133.07494936035724,10981.490910044588,descent
2026-05-27 14:41:48.281250+00:00,32.53395655604478,133.09046243234644,10443.084953961781,descent
2026-05-27 14:42:48.281250+00:00,32.525844693136044,133.10558203418324,9922.257911740811,descent
2026-05-27 14:43:48.281250+00:00,32.518904214098725,133.11963014689874,9417.656777094267,descent
2026-05-27 14:44:48.281250+00:00,32.51259125967063,133.13191948872992,8928.087414568432,descent
2026-05-27 14:45:48.281250+00:00,32.5069383203978,133.14209078249257,8452.49001520656,descent
2026-05-27 14:46:48.281250+00:00,32.50128233971961,133.1515046910849,7989.919181003774,descent
2026-05-27 14:47:48.281250+00:00,32.49565168005627,133.16036034351833,7539.52761956945,descent
2026-05-27 14:48:48.281250+00:00,32.490216717739855,133.16813935611884,7100.552684223986,descent
2026-05-27 14:49:48.281250+00:00,32.48567526463145,133.17461177987695,6672.305178460466,descent
2026-05-27 14:50:48.281250+00:00,32.482876779536404,133.18031303299773,6254.159978427512,descent
2026-05-27 14:51:48.281250+00:00,32.48124059463737,133.18644614880753,5845.548127102405,descent
2026-05-27 14:52:48.281250+00:00,32.47984575946538,133.19345578728712,5445.950128904953,descent
2026-05-27 14:53:48.281250+00:00,32.478684418332946,133.2010381193899,5054.890230456792,descent
2026-05-27 14:54:48.281250+00:00,32.47800524122848,133.20917271638532,4671.9315168136945,descent
2026-05-27 14:55:48.281250+00:00,32.478052801067385,133.21778177088586,4296.671686213074,descent
2026-05-27 14:56:48.281250+00:00,32.478699265254946,133.22628916144228,3928.7393926556992,descent
2026-05-27 14:57:48.281250+00:00,32.47941671918797,133.2339952313027,3567.7910662826635,descent
2026-05-27 14:58:48.281250+00:00,32.479779380095,133.2406190767049,3213.5081378445175,descent
